Iteration,Hordes,RatsPerHorde,TotalRats,FPS,PhysicsFPS
0,0,1,0,4321.31,2353.33
0,10,51,510,2000.17,1176.86
0,10,101,1010,1777.77,753.73
0,10,151,1510,1601.60,565.49
0,10,201,2010,1426.26,470.98
0,10,251,2510,1278.48,377.26
0,10,301,3010,1154.00,330.00
0,10,351,3510,1039.74,283.14
0,10,401,4010,945.43,236.67
0,10,451,4510,856.65,235.69
0,10,501,5010,778.11,189.80
0,10,551,5510,726.96,189.02
0,10,601,6010,676.58,143.73
0,10,651,6510,639.62,143.14
0,10,701,7010,601.74,142.55
0,10,751,7510,570.49,141.96
0,10,801,8010,543.99,97.65
0,10,851,8510,518.84,97.25
0,10,901,9010,494.08,96.86
0,10,951,9510,471.01,96.47
0,10,1001,10010,451.19,96.08
0,10,1051,10510,433.45,95.69
0,10,1101,11010,414.22,95.29
0,10,1151,11510,397.02,94.90
0,10,1201,12010,383.95,94.51
0,10,1251,12510,368.92,52.16
0,10,1301,13010,356.35,51.96
0,10,1351,13510,345.63,51.76
0,10,1401,14010,335.11,51.57
0,10,1451,14510,324.24,51.37
0,10,1501,15010,315.05,51.18
0,10,1551,15510,305.67,50.98
0,10,1601,16010,296.98,50.78
0,10,1651,16510,289.88,50.59
0,10,1701,17010,282.01,50.39
0,10,1751,17510,272.50,50.20
0,10,1801,18010,264.30,50.00
0,10,1851,18510,257.51,49.80
0,10,1901,19010,251.05,49.61
0,10,1951,19510,246.32,49.41
0,10,2001,20010,240.21,49.22
0,10,2051,20510,233.05,49.02
0,10,2101,21010,227.49,48.82
0,10,2151,21510,222.91,48.63
0,10,2201,22010,217.86,48.43
0,10,2251,22510,213.61,48.24
0,10,2301,23010,210.96,48.04
0,10,2351,23510,206.99,47.84
0,10,2401,24010,203.70,47.65
0,10,2451,24510,200.04,47.45
0,10,2501,25010,196.83,10.20
0,10,2551,25510,193.76,10.20
0,10,2601,26010,190.34,10.20
0,10,2651,26510,188.74,10.20
0,10,2701,27010,183.90,10.20
