Iteration,Hordes,RatsPerHorde,TotalRats,FPS,PhysicsFPS
0,0,1,0,4176.99,2353.33
0,10,51,510,1944.50,1176.86
0,10,101,1010,1747.79,753.73
0,10,151,1510,1661.45,565.49
0,10,201,2010,1517.29,470.98
0,10,251,2510,1369.62,377.26
0,10,301,3010,1224.16,330.00
0,10,351,3510,1112.25,283.14
0,10,401,4010,939.45,236.67
0,10,451,4510,826.64,235.69
0,10,501,5010,734.65,189.80
0,10,551,5510,660.49,189.02
0,10,601,6010,638.50,143.73
0,10,651,6510,611.12,143.14
0,10,701,7010,587.14,142.55
0,10,751,7510,583.20,141.96
0,10,801,8010,568.21,97.65
0,10,851,8510,555.27,97.25
0,10,901,9010,548.29,96.86
0,10,951,9510,543.61,96.47
0,10,1001,10010,537.49,96.08
0,10,1051,10510,530.60,95.69
0,10,1101,11010,520.48,95.29
0,10,1151,11510,509.16,94.90
0,10,1201,12010,496.74,94.51
0,10,1251,12510,487.86,52.16
0,10,1301,13010,474.11,51.96
0,10,1351,13510,465.12,51.76
0,10,1401,14010,456.22,51.57
0,10,1451,14510,447.63,51.37
0,10,1501,15010,440.00,51.18
0,10,1551,15510,432.29,50.98
0,10,1601,16010,423.05,50.78
0,10,1651,16510,414.28,50.59
0,10,1701,17010,405.99,50.39
0,10,1751,17510,396.48,50.20
0,10,1801,18010,389.13,50.00
0,10,1851,18510,378.57,49.80
0,10,1901,19010,370.97,49.61
0,10,1951,19510,363.72,49.41
0,10,2001,20010,358.33,49.22
0,10,2051,20510,350.32,49.02
0,10,2101,21010,341.35,48.82
0,10,2151,21510,335.71,48.63
0,10,2201,22010,335.14,48.43
0,10,2251,22510,329.99,48.24
0,10,2301,23010,327.44,48.04
0,10,2351,23510,323.23,47.84
0,10,2401,24010,322.62,47.65
0,10,2451,24510,318.61,47.45
0,10,2501,25010,318.99,10.20
0,10,2551,25510,314.30,10.20
0,10,2601,26010,310.20,10.20
0,10,2651,26510,307.85,10.20
0,10,2701,27010,305.03,10.20
0,10,2751,27510,300.96,10.20
0,10,2801,28010,298.00,10.20
0,10,2851,28510,294.24,10.20
0,10,2901,29010,291.44,10.20
0,10,2951,29510,288.18,10.20
0,10,3001,30010,284.48,10.20
0,10,3051,30510,281.00,10.20
0,10,3101,31010,277.20,10.20
0,10,3151,31510,273.82,10.20
0,10,3201,32010,270.56,10.20
0,10,3251,32510,266.83,10.20
0,10,3301,33010,264.93,10.20
0,10,3351,33510,262.61,10.20
0,10,3401,34010,260.57,10.20
