Iteration,Hordes,RatsPerHorde,TotalRats,FPS,PhysicsFPS
0,0,1,0,3798.20,2353.33
0,10,51,510,1831.69,1176.86
0,10,101,1010,1645.70,753.73
0,10,151,1510,1516.31,565.49
0,10,201,2010,1348.31,470.98
0,10,251,2510,1198.83,377.26
0,10,301,3010,1111.20,330.00
0,10,351,3510,994.07,283.14
0,10,401,4010,877.56,236.67
0,10,451,4510,790.20,235.69
0,10,501,5010,738.27,189.80
0,10,551,5510,701.47,189.02
0,10,601,6010,665.59,143.73
0,10,651,6510,627.65,143.14
0,10,701,7010,590.13,142.55
0,10,751,7510,560.53,141.96
0,10,801,8010,537.58,97.65
0,10,851,8510,511.06,97.25
0,10,901,9010,488.79,96.86
0,10,951,9510,466.43,96.47
0,10,1001,10010,453.44,96.08
0,10,1051,10510,444.05,95.69
0,10,1101,11010,438.07,95.29
0,10,1151,11510,436.24,94.90
0,10,1201,12010,435.50,94.51
0,10,1251,12510,435.71,52.16
0,10,1301,13010,440.92,51.96
0,10,1351,13510,437.79,51.76
0,10,1401,14010,433.74,51.57
0,10,1451,14510,430.69,51.37
0,10,1501,15010,424.34,51.18
0,10,1551,15510,417.35,50.98
0,10,1601,16010,407.20,50.78
0,10,1651,16510,398.36,50.59
0,10,1701,17010,389.48,50.39
0,10,1751,17510,379.67,50.20
0,10,1801,18010,369.90,50.00
0,10,1851,18510,361.59,49.80
0,10,1901,19010,353.31,49.61
0,10,1951,19510,346.55,49.41
0,10,2001,20010,337.85,49.22
0,10,2051,20510,324.51,49.02
0,10,2101,21010,317.93,48.82
0,10,2151,21510,312.01,48.63
0,10,2201,22010,306.87,48.43
0,10,2251,22510,300.36,48.24
0,10,2301,23010,296.48,48.04
0,10,2351,23510,292.55,47.84
0,10,2401,24010,288.08,47.65
0,10,2451,24510,288.83,47.45
0,10,2501,25010,284.25,10.20
0,10,2551,25510,279.79,10.20
0,10,2601,26010,275.73,10.20
0,10,2651,26510,271.43,10.20
0,10,2701,27010,266.15,10.20
0,10,2751,27510,261.85,10.20
0,10,2801,28010,257.59,10.20
