pop,resources
6,50.025
8,50.33698
9,50.49097
9,50.55397
11,50.61697
11,50.65498
13,50.69298
13,50.74397
15,50.77797
15,50.82297
15,50.85297
17,50.88297
17,50.90897
17,50.94797
15,50.97397
15,51.00397
16,51.03397
16,51.06197
16,51.08997
16,51.11797
18,51.15997
20,51.18397
20,51.20396
20,51.22396
22,51.24396
24,51.25996
24,51.37397
24,51.39197
24,51.40397
24,51.41597
25,51.42797
27,51.42797
27,51.42797
27,51.42797
27,51.42797
27,51.42797
28,51.42797
30,51.42797
32,51.42797
33,51.42797
33,51.42797
33,51.42797
34,51.42797
34,51.42797
34,51.42797
34,51.42797
34,51.42797
34,51.42797
34,51.42797
33,51.42797
34,51.42797
34,51.42797
34,51.42797
35,51.42797
33,51.41797
33,51.41797
34,51.41797
34,51.41797
34,51.41797
32,51.41797
33,51.41797
33,51.41797
35,51.41797
35,51.40797
36,51.39296
36,51.38096
36,51.36896
38,51.35696
39,51.34096
40,51.32296
40,51.30297
40,51.28297
40,51.26297
40,51.24298
40,51.22298
40,51.20298
40,51.17299
40,51.15299
40,51.133
40,51.103
40,51.083
40,51.06301
40,51.04301
40,51.02301
40,51.00302
40,50.98302
40,50.96302
40,50.93303
40,50.91303
41,50.88304
41,50.86103
41,50.83903
41,50.81703
43,50.79502
45,50.76902
45,50.73903
45,50.69403
45,50.66403
46,50.63403
46,50.60203
47,50.57003
47,50.53604
47,50.50204
47,50.46804
47,50.41705
47,50.38305
47,50.34906
49,50.31506
49,50.27706
49,50.23906
49,50.20105
49,50.16305
49,50.12505
49,50.08705
49,50.04905
49,49.99204
49,49.95404
49,49.91604
49,49.87804
49,49.82103
49,49.78303
50,49.74503
50,49.70503
52,49.66503
52,49.62103
52,49.57703
52,49.53303
52,49.46703
52,49.42303
52,49.37904
52,49.33504
52,49.29104
52,49.24704
52,49.20304
52,49.13704
52,49.09304
54,49.04905
54,49.00105
55,48.95305
55,48.90305
54,48.85305
54,48.80505
54,48.75705
52,48.70906
52,48.66506
53,48.59906
55,48.55306
55,48.50306
54,48.45306
54,48.38106
55,48.33307
55,48.28306
55,48.23306
55,48.18306
56,48.13305
57,48.08105
56,48.02705
56,47.97505
57,47.92305
57,47.86905
57,47.78804
57,47.73404
57,47.68004
57,47.62604
58,47.54504
58,47.48904
60,47.43304
60,47.37304
60,47.31305
59,47.25305
59,47.19505
59,47.10805
59,47.02105
59,46.96305
59,46.87606
58,46.81806
58,46.76206
58,46.70606
58,46.65006
58,46.59406
58,46.53806
57,46.48206
56,46.42806
56,46.37606
56,46.32405
56,46.27205
56,46.19405
57,46.14205
57,46.08805
57,46.00705
57,45.95304
57,45.89904
57,45.84504
55,45.76404
55,45.71404
55,45.66404
53,45.61403
51,45.56804
49,45.52604
49,45.48803
50,45.45003
49,45.41003
49,45.37203
47,45.33403
47,45.30003
47,45.24903
48,45.21504
47,45.17904
46,45.14504
46,45.11304
46,45.08104
46,45.04905
44,45.01705
44,44.97505
44,44.94705
44,44.91905
44,44.89105
45,44.86305
45,44.83305
45,44.80305
45,44.75805
43,44.71305
43,44.68705
43,44.64805
43,44.62205
45,44.59605
45,44.56605
45,44.52105
46,44.49105
44,44.45906
44,44.41706
44,44.38906
44,44.36106
44,44.33306
44,44.30506
44,44.27706
44,44.24906
44,44.22106
44,44.19306
44,44.16506
44,44.12306
44,44.09506
44,44.06706
44,44.03906
44,43.99706
46,43.96906
46,43.93706
46,43.90506
46,43.87307
46,43.84107
46,43.80907
45,43.77707
45,43.74707
45,43.71708
43,43.68708
44,43.66108
45,43.63308
46,43.60308
46,43.57108
46,43.53908
46,43.50708
46,43.47509
46,43.44309
45,43.39509
45,43.36509
46,43.33509
48,43.3031
49,43.26709
47,43.22909
46,43.1951
46,43.1631
46,43.1311
46,43.0991
45,43.0671
45,43.03711
45,42.99211
45,42.96211
45,42.93211
45,42.88711
45,42.85711
45,42.82711
45,42.79712
44,42.75212
43,42.72412
43,42.69812
45,42.67212
43,42.64212
43,42.61612
41,42.59011
41,42.55711
41,42.53511
41,42.5131
41,42.4911
41,42.4581
41,42.43609
41,42.41409
42,42.39209
42,42.36808
42,42.34408
42,42.32008
44,42.29608
44,42.26808
44,42.24008
44,42.21208
